,palsa_percentage
765_73_2550_2016_negcrop_1,0.0
765_73_2550_2016_negcrop_2,0.0
765_73_2550_2016_negcrop_3,0.0
765_73_2550_2016_negcrop_4,0.0
765_73_2550_2016_crop_72_aug,0.75
765_73_2550_2016_crop_84_aug,25.0
765_73_2550_2016_crop_85_aug,3.25
765_73_2550_2016_crop_96_aug,2.25
765_73_2550_2016_crop_97_aug,6.0
762_72_5050_2018_crop_21,0.0
762_72_5050_2018_crop_22,0.25
762_72_5050_2018_crop_33,0.0
762_72_5050_2018_crop_34,0.0
762_72_5050_2018_crop_46,0.0
762_72_5050_2018_crop_55,0.0
762_72_5050_2018_crop_56,0.5
762_72_5050_2018_crop_67,4.5
762_72_5050_2018_crop_71,1.75
762_72_5050_2018_crop_83,0.0
762_72_5050_2018_crop_112,0.0
762_72_5050_2018_crop_113,0.0
762_72_5050_2018_crop_114,0.5
762_72_5050_2018_crop_115,0.0
762_72_5050_2018_crop_124,0.0
762_72_5050_2018_crop_125,0.0
762_72_5050_2018_crop_126,7.0
762_72_5050_2018_crop_127,0.0
762_72_5050_2018_crop_136,0.0
762_72_5050_2018_crop_139,0.75
762_72_5050_2018_negcrop_0,0.0
762_72_5050_2018_negcrop_1,0.0
762_72_5050_2018_negcrop_2,0.0
762_72_5050_2018_negcrop_3,0.0
762_72_5050_2018_negcrop_4,0.0
762_72_5050_2018_negcrop_5,0.0
762_72_5050_2018_negcrop_6,0.0
762_72_5050_2018_negcrop_7,0.0
762_72_5050_2018_negcrop_8,0.0
762_72_5050_2018_negcrop_9,0.0
762_72_5050_2018_negcrop_10,0.0
762_72_5050_2018_negcrop_11,0.0
762_72_5050_2018_negcrop_12,0.0
762_72_5050_2018_negcrop_13,0.0
762_72_5050_2018_negcrop_14,0.0
762_72_5050_2018_negcrop_15,0.0
762_72_5050_2018_negcrop_16,0.0
762_72_5050_2018_negcrop_17,0.0
762_72_5050_2018_negcrop_18,0.0
762_72_5050_2018_negcrop_19,0.0
762_72_5050_2018_crop_21_aug,0.0
762_72_5050_2018_crop_22_aug,0.25
762_72_5050_2018_crop_33_aug,0.0
762_72_5050_2018_crop_34_aug,0.0
762_72_5050_2018_crop_46_aug,0.0
762_72_5050_2018_crop_55_aug,0.0
762_72_5050_2018_crop_56_aug,0.5
762_72_5050_2018_crop_67_aug,4.5
762_72_5050_2018_crop_71_aug,1.75
762_72_5050_2018_crop_83_aug,0.0
762_72_5050_2018_crop_112_aug,0.0
762_72_5050_2018_crop_113_aug,0.0
762_72_5050_2018_crop_114_aug,0.5
762_72_5050_2018_crop_115_aug,0.0
762_72_5050_2018_crop_124_aug,0.0
762_72_5050_2018_crop_125_aug,0.0
762_72_5050_2018_crop_126_aug,7.0
762_72_5050_2018_crop_127_aug,0.0
762_72_5050_2018_crop_136_aug,0.0
762_72_5050_2018_crop_139_aug,0.75
758_74_2500_2013_crop_75,0.75
758_74_2500_2013_crop_100,0.25
758_74_2500_2013_crop_112,1.0
758_74_2500_2013_crop_124,2.5
758_74_2500_2013_negcrop_0,0.0
758_74_2500_2013_negcrop_1,0.0
758_74_2500_2013_negcrop_2,0.0
758_74_2500_2013_negcrop_3,0.0
758_74_2500_2013_crop_75_aug,0.75
758_74_2500_2013_crop_100_aug,0.25
758_74_2500_2013_crop_112_aug,1.0
758_74_2500_2013_crop_124_aug,2.5
746_61_2575_2014_crop_103,0.0
746_61_2575_2014_crop_104,0.0
746_61_2575_2014_crop_105,0.0
746_61_2575_2014_crop_128,0.0
746_61_2575_2014_crop_129,0.0
746_61_2575_2014_crop_140,0.0
746_61_2575_2014_crop_141,0.0
746_61_2575_2014_crop_142,0.0
746_61_2575_2014_negcrop_0,0.0
746_61_2575_2014_negcrop_1,0.0
746_61_2575_2014_negcrop_2,0.0
746_61_2575_2014_negcrop_3,0.0
746_61_2575_2014_negcrop_4,0.0
746_61_2575_2014_negcrop_5,0.0
746_61_2575_2014_negcrop_6,0.0
746_61_2575_2014_negcrop_7,0.0
746_61_2575_2014_crop_103_aug,0.0
746_61_2575_2014_crop_104_aug,0.0
746_61_2575_2014_crop_105_aug,0.0
746_61_2575_2014_crop_128_aug,0.0
746_61_2575_2014_crop_129_aug,0.0
746_61_2575_2014_crop_140_aug,0.0
746_61_2575_2014_crop_141_aug,0.0
746_61_2575_2014_crop_142_aug,0.0
749_68_0075_2014_crop_61,0.0
749_68_0075_2014_crop_62,0.0
749_68_0075_2014_crop_63,0.0
749_68_0075_2014_crop_138,0.25
749_68_0075_2014_crop_139,0.0
749_68_0075_2014_negcrop_0,0.0
749_68_0075_2014_negcrop_1,0.0
749_68_0075_2014_negcrop_2,0.0
749_68_0075_2014_negcrop_3,0.0
749_68_0075_2014_negcrop_4,0.0
749_68_0075_2014_crop_61_aug,0.0
749_68_0075_2014_crop_62_aug,0.0
749_68_0075_2014_crop_63_aug,0.0
749_68_0075_2014_crop_138_aug,0.25
749_68_0075_2014_crop_139_aug,0.0
733_52_0000_2015_crop_95,0.0
733_52_0000_2015_crop_106,0.0
733_52_0000_2015_crop_129,0.25
733_52_0000_2015_crop_130,3.75
733_52_0000_2015_crop_141,0.0
733_52_0000_2015_negcrop_0,0.0
733_52_0000_2015_negcrop_1,0.0
733_52_0000_2015_negcrop_2,0.0
733_52_0000_2015_negcrop_3,0.0
733_52_0000_2015_negcrop_4,0.0
733_52_0000_2015_crop_95_aug,0.0
733_52_0000_2015_crop_106_aug,0.0
733_52_0000_2015_crop_129_aug,0.25
733_52_0000_2015_crop_130_aug,3.75
733_52_0000_2015_crop_141_aug,0.0
762_71_5000_2018_crop_5,0.0
762_71_5000_2018_crop_6,0.0
762_71_5000_2018_crop_7,0.0
762_71_5000_2018_crop_8,0.0
762_71_5000_2018_negcrop_0,0.0
762_71_5000_2018_negcrop_1,0.0
762_71_5000_2018_negcrop_2,0.0
762_71_5000_2018_negcrop_3,0.0
762_71_5000_2018_crop_5_aug,0.0
762_71_5000_2018_crop_6_aug,0.0
762_71_5000_2018_crop_7_aug,0.0
762_71_5000_2018_crop_8_aug,0.0
760_72_7550_2018_crop_117,1.0
760_72_7550_2018_crop_128,0.25
760_72_7550_2018_crop_129,1.0
760_72_7550_2018_negcrop_0,0.0
760_72_7550_2018_negcrop_1,0.0
760_72_7550_2018_negcrop_2,0.0
760_72_7550_2018_crop_117_aug,1.0
760_72_7550_2018_crop_128_aug,0.25
760_72_7550_2018_crop_129_aug,1.0
760_73_5075_2018_crop_18,8.5
760_73_5075_2018_crop_19,7.75
760_73_5075_2018_crop_22,1.75
760_73_5075_2018_crop_23,7.25
760_73_5075_2018_crop_29,0.25
760_73_5075_2018_crop_30,1.0
760_73_5075_2018_crop_31,7.5
760_73_5075_2018_crop_33,3.0
760_73_5075_2018_crop_34,4.5
760_73_5075_2018_crop_35,12.25
760_73_5075_2018_crop_46,2.25
760_73_5075_2018_crop_47,6.0
760_73_5075_2018_crop_54,0.0
760_73_5075_2018_crop_56,0.5
760_73_5075_2018_crop_57,16.5
760_73_5075_2018_crop_58,6.0
760_73_5075_2018_crop_69,2.75
760_73_5075_2018_crop_70,3.25
760_73_5075_2018_crop_91,3.25
760_73_5075_2018_crop_94,0.5
760_73_5075_2018_crop_103,18.75
760_73_5075_2018_crop_104,0.75
760_73_5075_2018_crop_115,6.0
760_73_5075_2018_crop_116,0.0
760_73_5075_2018_crop_119,1.25
760_73_5075_2018_crop_127,0.0
760_73_5075_2018_crop_139,0.25
760_73_5075_2018_crop_141,0.0
760_73_5075_2018_crop_142,3.25
760_73_5075_2018_crop_143,2.75
760_73_5075_2018_negcrop_0,0.0
760_73_5075_2018_negcrop_1,0.0
760_73_5075_2018_negcrop_2,0.0
760_73_5075_2018_negcrop_3,0.0
760_73_5075_2018_negcrop_4,0.0
760_73_5075_2018_negcrop_5,0.0
760_73_5075_2018_negcrop_6,0.0
760_73_5075_2018_negcrop_7,0.0
760_73_5075_2018_negcrop_8,0.0
760_73_5075_2018_negcrop_9,0.0
760_73_5075_2018_negcrop_10,0.0
760_73_5075_2018_negcrop_11,0.0
760_73_5075_2018_negcrop_12,0.0
760_73_5075_2018_negcrop_13,0.0
760_73_5075_2018_negcrop_14,0.0
760_73_5075_2018_negcrop_15,0.0
760_73_5075_2018_negcrop_16,0.0
760_73_5075_2018_negcrop_17,0.0
760_73_5075_2018_negcrop_18,0.0
760_73_5075_2018_negcrop_19,0.0
760_73_5075_2018_negcrop_20,0.0
760_73_5075_2018_negcrop_21,0.0
760_73_5075_2018_negcrop_22,0.0
760_73_5075_2018_negcrop_23,0.0
760_73_5075_2018_negcrop_24,0.0
760_73_5075_2018_negcrop_25,0.0
760_73_5075_2018_negcrop_26,0.0
760_73_5075_2018_negcrop_27,0.0
760_73_5075_2018_negcrop_28,0.0
760_73_5075_2018_negcrop_29,0.0
760_73_5075_2018_crop_18_aug,8.5
760_73_5075_2018_crop_19_aug,7.75
760_73_5075_2018_crop_22_aug,1.75
760_73_5075_2018_crop_23_aug,7.25
760_73_5075_2018_crop_29_aug,0.25
760_73_5075_2018_crop_30_aug,1.0
760_73_5075_2018_crop_31_aug,7.5
760_73_5075_2018_crop_33_aug,3.0
760_73_5075_2018_crop_34_aug,4.5
760_73_5075_2018_crop_35_aug,12.25
760_73_5075_2018_crop_46_aug,2.25
760_73_5075_2018_crop_47_aug,6.0
760_73_5075_2018_crop_54_aug,0.0
760_73_5075_2018_crop_56_aug,0.5
760_73_5075_2018_crop_57_aug,16.5
760_73_5075_2018_crop_58_aug,6.0
760_73_5075_2018_crop_69_aug,2.75
760_73_5075_2018_crop_70_aug,3.25
760_73_5075_2018_crop_91_aug,3.25
760_73_5075_2018_crop_94_aug,0.5
760_73_5075_2018_crop_103_aug,18.75
760_73_5075_2018_crop_104_aug,0.75
760_73_5075_2018_crop_115_aug,6.0
760_73_5075_2018_crop_116_aug,0.0
760_73_5075_2018_crop_119_aug,1.25
760_73_5075_2018_crop_127_aug,0.0
760_73_5075_2018_crop_139_aug,0.25
760_73_5075_2018_crop_141_aug,0.0
760_73_5075_2018_crop_142_aug,3.25
760_73_5075_2018_crop_143_aug,2.75
762_73_5075_2018_crop_3,14.5
762_73_5075_2018_crop_4,43.0
762_73_5075_2018_crop_5,11.25
762_73_5075_2018_crop_15,18.5
762_73_5075_2018_crop_16,14.75
762_73_5075_2018_crop_20,0.0
762_73_5075_2018_crop_21,0.0
762_73_5075_2018_crop_27,1.0
762_73_5075_2018_crop_40,1.5
762_73_5075_2018_crop_41,6.0
762_73_5075_2018_crop_42,7.0
762_73_5075_2018_crop_51,4.25
762_73_5075_2018_crop_52,24.25
762_73_5075_2018_crop_53,9.5
762_73_5075_2018_crop_63,10.0
762_73_5075_2018_crop_64,9.5
762_73_5075_2018_crop_73,0.0
762_73_5075_2018_crop_74,5.0
762_73_5075_2018_crop_75,3.75
762_73_5075_2018_crop_84,0.0
762_73_5075_2018_crop_85,0.5
762_73_5075_2018_crop_86,2.75
762_73_5075_2018_negcrop_0,0.0
762_73_5075_2018_negcrop_1,0.0
762_73_5075_2018_negcrop_2,0.0
762_73_5075_2018_negcrop_3,0.0
762_73_5075_2018_negcrop_4,0.0
762_73_5075_2018_negcrop_5,0.0
762_73_5075_2018_negcrop_6,0.0
762_73_5075_2018_negcrop_7,0.0
762_73_5075_2018_negcrop_8,0.0
762_73_5075_2018_negcrop_9,0.0
762_73_5075_2018_negcrop_10,0.0
762_73_5075_2018_negcrop_11,0.0
762_73_5075_2018_negcrop_12,0.0
762_73_5075_2018_negcrop_13,0.0
762_73_5075_2018_negcrop_14,0.0
762_73_5075_2018_negcrop_15,0.0
762_73_5075_2018_negcrop_16,0.0
762_73_5075_2018_negcrop_17,0.0
762_73_5075_2018_negcrop_18,0.0
762_73_5075_2018_negcrop_19,0.0
762_73_5075_2018_negcrop_20,0.0
762_73_5075_2018_negcrop_21,0.0
762_73_5075_2018_crop_3_aug,14.5
762_73_5075_2018_crop_4_aug,43.0
762_73_5075_2018_crop_5_aug,11.25
762_73_5075_2018_crop_15_aug,18.5
762_73_5075_2018_crop_16_aug,14.75
762_73_5075_2018_crop_20_aug,0.0
762_73_5075_2018_crop_21_aug,0.0
762_73_5075_2018_crop_27_aug,1.0
762_73_5075_2018_crop_40_aug,1.5
762_73_5075_2018_crop_41_aug,6.0
762_73_5075_2018_crop_42_aug,7.0
762_73_5075_2018_crop_51_aug,4.25
762_73_5075_2018_crop_52_aug,24.25
762_73_5075_2018_crop_53_aug,9.5
762_73_5075_2018_crop_63_aug,10.0
762_73_5075_2018_crop_64_aug,9.5
762_73_5075_2018_crop_73_aug,0.0
762_73_5075_2018_crop_74_aug,5.0
762_73_5075_2018_crop_75_aug,3.75
762_73_5075_2018_crop_84_aug,0.0
762_73_5075_2018_crop_85_aug,0.5
762_73_5075_2018_crop_86_aug,2.75
759_72_7575_2013_crop_22,1.25
759_72_7575_2013_crop_23,13.25
759_72_7575_2013_crop_31,0.0
759_72_7575_2013_crop_32,0.75
759_72_7575_2013_crop_33,5.5
759_72_7575_2013_crop_34,0.75
759_72_7575_2013_crop_126,1.0
759_72_7575_2013_crop_132,0.0
759_72_7575_2013_crop_136,0.0
759_72_7575_2013_crop_137,0.0
759_72_7575_2013_crop_138,0.0
759_72_7575_2013_crop_139,1.75
759_72_7575_2013_crop_140,12.5
759_72_7575_2013_negcrop_0,0.0
759_72_7575_2013_negcrop_1,0.0
759_72_7575_2013_negcrop_2,0.0
759_72_7575_2013_negcrop_3,0.0
759_72_7575_2013_negcrop_4,0.0
759_72_7575_2013_negcrop_5,0.0
759_72_7575_2013_negcrop_6,0.0
759_72_7575_2013_negcrop_7,0.0
759_72_7575_2013_negcrop_8,0.0
759_72_7575_2013_negcrop_9,0.0
759_72_7575_2013_negcrop_10,0.0
759_72_7575_2013_negcrop_11,0.0
759_72_7575_2013_negcrop_12,0.0
759_72_7575_2013_crop_22_aug,1.25
759_72_7575_2013_crop_23_aug,13.25
759_72_7575_2013_crop_31_aug,0.0
759_72_7575_2013_crop_32_aug,0.75
759_72_7575_2013_crop_33_aug,5.5
759_72_7575_2013_crop_34_aug,0.75
759_72_7575_2013_crop_126_aug,1.0
759_72_7575_2013_crop_132_aug,0.0
759_72_7575_2013_crop_136_aug,0.0
759_72_7575_2013_crop_137_aug,0.0
759_72_7575_2013_crop_138_aug,0.0
759_72_7575_2013_crop_139_aug,1.75
759_72_7575_2013_crop_140_aug,12.5
758_72_5075_2013_crop_11,4.25
758_72_5075_2013_crop_21,1.0
758_72_5075_2013_crop_115,0.5
758_72_5075_2013_crop_117,0.0
758_72_5075_2013_crop_118,0.25
758_72_5075_2013_crop_129,0.25
758_72_5075_2013_crop_138,1.25
758_72_5075_2013_crop_139,1.5
758_72_5075_2013_crop_141,0.0
758_72_5075_2013_negcrop_0,0.0
758_72_5075_2013_negcrop_1,0.0
758_72_5075_2013_negcrop_2,0.0
758_72_5075_2013_negcrop_3,0.0
758_72_5075_2013_negcrop_4,0.0
758_72_5075_2013_negcrop_5,0.0
758_72_5075_2013_negcrop_6,0.0
758_72_5075_2013_negcrop_7,0.0
758_72_5075_2013_negcrop_8,0.0
758_72_5075_2013_crop_11_aug,4.25
758_72_5075_2013_crop_21_aug,1.0
758_72_5075_2013_crop_115_aug,0.5
758_72_5075_2013_crop_117_aug,0.0
758_72_5075_2013_crop_118_aug,0.25
758_72_5075_2013_crop_129_aug,0.25
758_72_5075_2013_crop_138_aug,1.25
758_72_5075_2013_crop_139_aug,1.5
758_72_5075_2013_crop_141_aug,0.0
748_61_7550_2019_crop_58,1.25
748_61_7550_2019_crop_63,2.75
748_61_7550_2019_crop_67,5.0
748_61_7550_2019_crop_68,0.75
748_61_7550_2019_crop_69,0.0
748_61_7550_2019_crop_70,0.0
748_61_7550_2019_crop_71,0.0
748_61_7550_2019_crop_75,11.0
748_61_7550_2019_crop_81,0.0
748_61_7550_2019_crop_91,1.5
748_61_7550_2019_crop_103,15.0
748_61_7550_2019_crop_104,3.25
748_61_7550_2019_crop_108,0.0
748_61_7550_2019_crop_109,0.25
748_61_7550_2019_crop_110,0.25
748_61_7550_2019_negcrop_0,0.0
748_61_7550_2019_negcrop_1,0.0
748_61_7550_2019_negcrop_2,0.0
748_61_7550_2019_negcrop_3,0.0
748_61_7550_2019_negcrop_4,0.0
748_61_7550_2019_negcrop_5,0.0
748_61_7550_2019_negcrop_6,0.0
748_61_7550_2019_negcrop_7,0.0
748_61_7550_2019_negcrop_8,0.0
748_61_7550_2019_negcrop_9,0.0
748_61_7550_2019_negcrop_10,0.0
748_61_7550_2019_negcrop_11,0.0
748_61_7550_2019_negcrop_12,0.0
748_61_7550_2019_negcrop_13,0.0
748_61_7550_2019_negcrop_14,0.0
748_61_7550_2019_crop_58_aug,1.25
748_61_7550_2019_crop_63_aug,2.75
748_61_7550_2019_crop_67_aug,5.0
748_61_7550_2019_crop_68_aug,0.75
748_61_7550_2019_crop_69_aug,0.0
748_61_7550_2019_crop_70_aug,0.0
748_61_7550_2019_crop_71_aug,0.0
748_61_7550_2019_crop_75_aug,11.0
748_61_7550_2019_crop_81_aug,0.0
748_61_7550_2019_crop_91_aug,1.5
748_61_7550_2019_crop_103_aug,15.0
748_61_7550_2019_crop_104_aug,3.25
748_61_7550_2019_crop_108_aug,0.0
748_61_7550_2019_crop_109_aug,0.25
748_61_7550_2019_crop_110_aug,0.25
758_73_7500_2013_crop_5,0.5
758_73_7500_2013_crop_6,0.0
758_73_7500_2013_crop_8,2.25
758_73_7500_2013_crop_17,0.0
758_73_7500_2013_crop_18,0.5
758_73_7500_2013_crop_19,8.5
758_73_7500_2013_crop_20,7.25
758_73_7500_2013_crop_29,3.0
758_73_7500_2013_crop_30,22.75
758_73_7500_2013_crop_31,21.75
758_73_7500_2013_crop_32,1.5
758_73_7500_2013_crop_40,0.0
758_73_7500_2013_crop_41,8.0
758_73_7500_2013_crop_43,0.0
758_73_7500_2013_crop_45,0.5
758_73_7500_2013_crop_46,8.75
758_73_7500_2013_crop_47,4.75
758_73_7500_2013_crop_49,0.0
758_73_7500_2013_crop_50,0.25
758_73_7500_2013_crop_53,4.5
758_73_7500_2013_crop_54,0.0
758_73_7500_2013_crop_57,8.25
758_73_7500_2013_crop_58,35.5
758_73_7500_2013_crop_59,26.5
758_73_7500_2013_crop_62,1.5
758_73_7500_2013_crop_64,0.75
758_73_7500_2013_crop_69,0.5
758_73_7500_2013_crop_70,4.75
758_73_7500_2013_crop_71,4.5
758_73_7500_2013_crop_76,0.0
758_73_7500_2013_crop_81,0.25
758_73_7500_2013_crop_82,0.5
758_73_7500_2013_crop_88,0.0
758_73_7500_2013_crop_91,0.0
758_73_7500_2013_crop_105,0.25
758_73_7500_2013_crop_108,0.0
758_73_7500_2013_crop_109,0.25
758_73_7500_2013_crop_113,1.0
758_73_7500_2013_crop_120,0.0
758_73_7500_2013_crop_128,1.0
758_73_7500_2013_crop_129,0.5
758_73_7500_2013_crop_132,7.25
758_73_7500_2013_crop_136,0.0
758_73_7500_2013_crop_137,1.0
758_73_7500_2013_crop_138,0.0
758_73_7500_2013_crop_141,0.5
758_73_7500_2013_negcrop_0,0.0
758_73_7500_2013_negcrop_1,0.0
758_73_7500_2013_negcrop_2,0.0
758_73_7500_2013_negcrop_3,0.0
758_73_7500_2013_negcrop_4,0.0
758_73_7500_2013_negcrop_5,0.0
758_73_7500_2013_negcrop_6,0.0
758_73_7500_2013_negcrop_7,0.0
758_73_7500_2013_negcrop_8,0.0
758_73_7500_2013_negcrop_9,0.0
758_73_7500_2013_negcrop_10,0.0
758_73_7500_2013_negcrop_11,0.0
758_73_7500_2013_negcrop_12,0.0
758_73_7500_2013_negcrop_13,0.0
758_73_7500_2013_negcrop_14,0.0
758_73_7500_2013_negcrop_15,0.0
758_73_7500_2013_negcrop_16,0.0
758_73_7500_2013_negcrop_17,0.0
758_73_7500_2013_negcrop_18,0.0
758_73_7500_2013_negcrop_19,0.0
758_73_7500_2013_negcrop_20,0.0
758_73_7500_2013_negcrop_21,0.0
758_73_7500_2013_negcrop_22,0.0
758_73_7500_2013_negcrop_23,0.0
758_73_7500_2013_negcrop_24,0.0
758_73_7500_2013_negcrop_25,0.0
758_73_7500_2013_negcrop_26,0.0
758_73_7500_2013_negcrop_27,0.0
758_73_7500_2013_negcrop_28,0.0
758_73_7500_2013_negcrop_29,0.0
758_73_7500_2013_negcrop_30,0.0
758_73_7500_2013_negcrop_31,0.0
758_73_7500_2013_negcrop_32,0.0
758_73_7500_2013_negcrop_33,0.0
758_73_7500_2013_negcrop_34,0.0
758_73_7500_2013_negcrop_35,0.0
758_73_7500_2013_negcrop_36,0.0
758_73_7500_2013_negcrop_37,0.0
758_73_7500_2013_negcrop_38,0.0
758_73_7500_2013_negcrop_39,0.0
758_73_7500_2013_negcrop_40,0.0
758_73_7500_2013_negcrop_41,0.0
758_73_7500_2013_negcrop_42,0.0
758_73_7500_2013_negcrop_43,0.0
758_73_7500_2013_negcrop_44,0.0
758_73_7500_2013_negcrop_45,0.0
758_73_7500_2013_crop_5_aug,0.5
758_73_7500_2013_crop_6_aug,0.0
758_73_7500_2013_crop_8_aug,2.25
758_73_7500_2013_crop_17_aug,0.0
758_73_7500_2013_crop_18_aug,0.5
758_73_7500_2013_crop_19_aug,8.5
758_73_7500_2013_crop_20_aug,7.25
758_73_7500_2013_crop_29_aug,3.0
758_73_7500_2013_crop_30_aug,22.75
758_73_7500_2013_crop_31_aug,21.75
758_73_7500_2013_crop_32_aug,1.5
758_73_7500_2013_crop_40_aug,0.0
758_73_7500_2013_crop_41_aug,8.0
758_73_7500_2013_crop_43_aug,0.0
758_73_7500_2013_crop_45_aug,0.5
758_73_7500_2013_crop_46_aug,8.75
758_73_7500_2013_crop_47_aug,4.75
758_73_7500_2013_crop_49_aug,0.0
758_73_7500_2013_crop_50_aug,0.25
758_73_7500_2013_crop_53_aug,4.5
758_73_7500_2013_crop_54_aug,0.0
758_73_7500_2013_crop_57_aug,8.25
758_73_7500_2013_crop_58_aug,35.5
758_73_7500_2013_crop_59_aug,26.5
758_73_7500_2013_crop_62_aug,1.5
758_73_7500_2013_crop_64_aug,0.75
758_73_7500_2013_crop_69_aug,0.5
758_73_7500_2013_crop_70_aug,4.75
758_73_7500_2013_crop_71_aug,4.5
758_73_7500_2013_crop_76_aug,0.0
758_73_7500_2013_crop_81_aug,0.25
758_73_7500_2013_crop_82_aug,0.5
758_73_7500_2013_crop_88_aug,0.0
758_73_7500_2013_crop_91_aug,0.0
758_73_7500_2013_crop_105_aug,0.25
758_73_7500_2013_crop_108_aug,0.0
758_73_7500_2013_crop_109_aug,0.25
758_73_7500_2013_crop_113_aug,1.0
758_73_7500_2013_crop_120_aug,0.0
758_73_7500_2013_crop_128_aug,1.0
758_73_7500_2013_crop_129_aug,0.5
758_73_7500_2013_crop_132_aug,7.25
758_73_7500_2013_crop_136_aug,0.0
758_73_7500_2013_crop_137_aug,1.0
758_73_7500_2013_crop_138_aug,0.0
758_73_7500_2013_crop_141_aug,0.5
763_72_5025_2018_crop_2,3.75
763_72_5025_2018_crop_3,0.0
763_72_5025_2018_crop_14,3.75
763_72_5025_2018_crop_15,6.75
763_72_5025_2018_crop_16,0.5
763_72_5025_2018_crop_26,2.75
763_72_5025_2018_crop_28,1.75
763_72_5025_2018_crop_141,4.25
763_72_5025_2018_negcrop_0,0.0
763_72_5025_2018_negcrop_1,0.0
763_72_5025_2018_negcrop_2,0.0
763_72_5025_2018_negcrop_3,0.0
763_72_5025_2018_negcrop_4,0.0
763_72_5025_2018_negcrop_5,0.0
763_72_5025_2018_negcrop_6,0.0
763_72_5025_2018_negcrop_7,0.0
763_72_5025_2018_crop_2_aug,3.75
763_72_5025_2018_crop_3_aug,0.0
763_72_5025_2018_crop_14_aug,3.75
763_72_5025_2018_crop_15_aug,6.75
763_72_5025_2018_crop_16_aug,0.5
763_72_5025_2018_crop_26_aug,2.75
763_72_5025_2018_crop_28_aug,1.75
763_72_5025_2018_crop_141_aug,4.25
746_65_5075_2014_crop_26,2.5
746_65_5075_2014_crop_27,0.75
746_65_5075_2014_crop_38,1.25
746_65_5075_2014_crop_39,0.25
746_65_5075_2014_crop_49,1.0
746_65_5075_2014_crop_50,0.0
746_65_5075_2014_crop_60,0.75
746_65_5075_2014_crop_61,8.0
746_65_5075_2014_crop_72,0.25
746_65_5075_2014_crop_73,1.0
746_65_5075_2014_negcrop_0,0.0
746_65_5075_2014_negcrop_1,0.0
746_65_5075_2014_negcrop_2,0.0
746_65_5075_2014_negcrop_3,0.0
746_65_5075_2014_negcrop_4,0.0
746_65_5075_2014_negcrop_5,0.0
746_65_5075_2014_negcrop_6,0.0
746_65_5075_2014_negcrop_7,0.0
746_65_5075_2014_negcrop_8,0.0
746_65_5075_2014_negcrop_9,0.0
746_65_5075_2014_crop_26_aug,2.5
746_65_5075_2014_crop_27_aug,0.75
746_65_5075_2014_crop_38_aug,1.25
746_65_5075_2014_crop_39_aug,0.25
746_65_5075_2014_crop_49_aug,1.0
746_65_5075_2014_crop_50_aug,0.0
746_65_5075_2014_crop_60_aug,0.75
746_65_5075_2014_crop_61_aug,8.0
746_65_5075_2014_crop_72_aug,0.25
746_65_5075_2014_crop_73_aug,1.0
761_73_7500_2018_crop_78,5.5
761_73_7500_2018_crop_79,1.5
761_73_7500_2018_crop_80,0.0
761_73_7500_2018_crop_81,0.0
761_73_7500_2018_crop_89,0.5
761_73_7500_2018_crop_91,1.0
761_73_7500_2018_crop_100,1.0
761_73_7500_2018_crop_101,14.75
761_73_7500_2018_crop_102,2.0
761_73_7500_2018_crop_103,0.0
761_73_7500_2018_crop_107,0.0
761_73_7500_2018_crop_112,16.5
761_73_7500_2018_crop_113,10.75
761_73_7500_2018_crop_114,1.25
761_73_7500_2018_crop_118,0.25
761_73_7500_2018_crop_123,0.0
761_73_7500_2018_crop_124,8.25
761_73_7500_2018_crop_125,15.0
761_73_7500_2018_crop_126,7.75
761_73_7500_2018_crop_135,0.25
761_73_7500_2018_crop_136,3.0
761_73_7500_2018_crop_137,3.25
761_73_7500_2018_crop_138,0.75
761_73_7500_2018_negcrop_0,0.0
761_73_7500_2018_negcrop_1,0.0
761_73_7500_2018_negcrop_2,0.0
761_73_7500_2018_negcrop_3,0.0
761_73_7500_2018_negcrop_4,0.0
761_73_7500_2018_negcrop_5,0.0
761_73_7500_2018_negcrop_6,0.0
761_73_7500_2018_negcrop_7,0.0
761_73_7500_2018_negcrop_8,0.0
761_73_7500_2018_negcrop_9,0.0
761_73_7500_2018_negcrop_10,0.0
761_73_7500_2018_negcrop_11,0.0
761_73_7500_2018_negcrop_12,0.0
761_73_7500_2018_negcrop_13,0.0
761_73_7500_2018_negcrop_14,0.0
761_73_7500_2018_negcrop_15,0.0
761_73_7500_2018_negcrop_16,0.0
761_73_7500_2018_negcrop_17,0.0
761_73_7500_2018_negcrop_18,0.0
761_73_7500_2018_negcrop_19,0.0
761_73_7500_2018_negcrop_20,0.0
761_73_7500_2018_negcrop_21,0.0
761_73_7500_2018_negcrop_22,0.0
761_73_7500_2018_crop_78_aug,5.5
761_73_7500_2018_crop_79_aug,1.5
761_73_7500_2018_crop_80_aug,0.0
761_73_7500_2018_crop_81_aug,0.0
761_73_7500_2018_crop_89_aug,0.5
761_73_7500_2018_crop_91_aug,1.0
761_73_7500_2018_crop_100_aug,1.0
761_73_7500_2018_crop_101_aug,14.75
761_73_7500_2018_crop_102_aug,2.0
761_73_7500_2018_crop_103_aug,0.0
761_73_7500_2018_crop_107_aug,0.0
761_73_7500_2018_crop_112_aug,16.5
761_73_7500_2018_crop_113_aug,10.75
761_73_7500_2018_crop_114_aug,1.25
761_73_7500_2018_crop_118_aug,0.25
761_73_7500_2018_crop_123_aug,0.0
